finalId,didongvietId
30,0
18,0
48,0
42,1
11,1
33,2
21,2
47,3
5,4
7,4
23,5
14,5
31,6
24,7
36,8
52,9
46,10
1,10
4,11
43,11
9,12
45,12
5,13
14,14
53,15
20,16
39,17
12,18
20,19
47,20
39,21
37,22
25,23
37,24
34,24
161,25
59,25
151,26
161,26
170,27
94,28
57,29
154,30
150,30
92,30
152,31
112,31
171,32
172,33
75,34
173,35
60,36
85,37
107,38
56,39
307,40
311,40
139,41
174,42
315,43
302,43
313,43
316,43
118,44
125,44
127,44
175,45
65,46
160,46
130,46
119,46
147,47
295,48
321,49
306,50
300,50
314,50
204,51
153,52
260,53
261,54
501,55
521,55
525,56
526,57
427,58
374,59
520,60
487,60
519,60
498,60
510,60
332,60
480,61
522,61
490,61
527,62
528,63
176,64
529,65
530,66
378,67
516,68
373,68
384,68
508,68
495,69
464,69
467,69
351,69
194,70
262,71
531,72
532,73
533,74
534,75
535,76
536,77
537,78
129,79
167,79
158,79
538,80
539,81
177,82
540,83
541,84
542,85
543,86
544,87
178,88
157,89
545,90
546,91
547,92
322,93
548,94
549,95
550,96
551,97
552,98
553,99
253,100
252,100
245,100
207,100
186,100
62,101
179,102
125,103
323,104
12,105
29,106
35,107
54,108
152,109
150,110
92,110
57,111
94,112
180,113
151,114
251,115
239,115
247,115
293,116
308,116
181,117
128,118
132,118
82,119
237,120
249,120
236,120
190,120
257,121
229,121
234,121
235,121
241,121
554,122
555,123
556,124
85,125
303,126
557,127
558,128
559,129
182,130
303,131
324,132
560,133
561,134
55,135
562,136
254,137
183,138
325,139
