schema_id,src_id
293,0
118,1
232,2
233,3
343,4
461,5
462,6
463,7
234,8
11,9
42,9
294,10
119,11
235,12
464,13
465,14
120,15
186,16
186,17
295,18
236,19
237,20
121,21
122,22
123,23
124,24
466,25
125,26
238,27
126,28
467,29
127,30
468,31
296,32
469,33
297,34
239,35
470,36
240,37
128,38
471,39
190,40
283,41
129,42
192,43
224,43
130,44
472,45
298,46
370,47
429,47
473,48
66,49
131,50
241,51
63,52
201,53
474,54
475,55
476,56
477,57
478,58
132,59
447,60
299,61
133,62
394,63
479,64
79,65
134,66
242,67
363,68
135,69
75,70
204,71
220,71
193,71
185,72
243,73
300,74
244,75
136,76
480,77
137,78
138,79
139,80
245,81
246,82
140,83
141,84
247,85
185,86
481,87
115,88
75,89
142,90
143,91
301,92
482,93
483,94
109,95
484,96
201,97
196,97
485,98
486,99
487,100
224,101
192,101
82,102
144,103
488,104
204,105
220,105
439,106
368,106
248,107
409,108
249,109
214,110
207,110
4,111
43,111
355,112
111,113
57,113
489,114
50,115
490,116
228,117
250,118
302,119
251,120
425,121
359,121
416,121
75,122
145,123
146,124
491,125
335,126
303,127
147,128
92,129
69,130
492,131
104,132
78,132
59,133
58,133
344,134
493,135
304,136
494,137
495,138
496,139
460,140
497,141
148,142
252,143
82,144
149,145
291,146
253,147
150,148
498,149
499,150
254,151
255,152
500,153
305,154
109,155
256,156
501,157
111,158
447,159
502,160
503,161
504,162
151,163
370,164
505,165
152,166
506,167
84,168
63,169
507,170
413,171
265,172
153,173
306,174
257,175
154,176
155,177
258,178
259,179
156,180
379,181
508,182
363,183
509,184
447,185
307,186
510,187
308,188
309,189
157,190
511,191
62,192
310,193
311,194
231,195
512,196
312,197
313,198
389,199
448,199
158,200
399,201
513,202
514,203
515,204
447,205
159,206
516,207
314,208
315,209
517,210
316,211
160,212
368,213
439,213
317,214
161,215
426,216
162,217
273,218
518,219
318,220
163,221
164,222
519,223
165,224
266,225
229,226
319,227
520,228
320,229
521,230
522,231
17,232
105,233
286,234
166,235
331,236
65,237
523,238
167,239
168,240
169,241
65,242
524,243
